login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
tiangolo,tiangolo/markdown-include-variants,2024-10-07T17:53:10Z,9,9,Python,False,False,mit
tiangolo,tiangolo/pydantic-sqlalchemy,2020-05-02T16:44:22Z,1175,1175,Python,True,True,mit
tiangolo,tiangolo/PyGithub,2024-10-27T08:52:25Z,7,7,,True,False,lgpl-3.0
tiangolo,tiangolo/dockerswarm.rocks,2019-01-17T13:17:52Z,1094,1094,Python,True,True,
tiangolo,tiangolo/uwsgi-nginx-docker,2016-02-14T14:33:08Z,648,648,Python,True,True,apache-2.0
tiangolo,tiangolo/tiangolo.com,2019-03-22T09:07:17Z,16,16,Python,True,True,
tiangolo,tiangolo/uvicorn-gunicorn-fastapi-docker,2019-01-04T17:33:29Z,2702,2702,Python,True,True,mit
tiangolo,tiangolo/uvicorn-gunicorn-starlette-docker,2019-01-04T17:32:30Z,184,184,Python,True,True,mit
tiangolo,tiangolo/wrangler-action,2024-10-24T12:22:03Z,4,4,,True,True,apache-2.0
tiangolo,tiangolo/uvicorn-gunicorn-docker,2019-01-04T11:44:13Z,629,629,Python,True,True,mit
tiangolo,tiangolo/markdown,2024-09-29T17:21:16Z,0,0,,True,True,bsd-3-clause
tiangolo,tiangolo/label-approved,2020-10-11T05:36:41Z,34,34,Python,True,True,mit
tiangolo,tiangolo/uv,2024-09-29T19:16:08Z,16,16,,True,False,apache-2.0
tiangolo,tiangolo/pymdown-extensions,2024-09-12T19:04:46Z,10,10,,True,True,other
tiangolo,tiangolo/latest-changes,2020-10-03T07:23:10Z,174,174,Python,True,True,mit
tiangolo,tiangolo/uwsgi-nginx-flask-docker,2016-02-14T16:32:58Z,2986,2986,Python,True,True,apache-2.0
tiangolo,tiangolo/issue-manager,2019-10-20T16:46:29Z,62,62,Python,True,True,mit
tiangolo,tiangolo/meinheld-gunicorn-docker,2019-01-12T12:04:38Z,165,165,Python,True,True,mit
tiangolo,tiangolo/meinheld-gunicorn-flask-docker,2019-01-12T13:41:39Z,485,485,Python,True,True,mit
tiangolo,tiangolo/nginx-rtmp-docker,2016-08-30T22:30:06Z,1119,1119,Dockerfile,True,True,mit
tiangolo,tiangolo/poetry-version-plugin,2021-05-27T10:06:52Z,361,361,Python,True,True,mit
tiangolo,tiangolo/github-actions-sandbox,2020-10-04T07:39:08Z,16,16,Python,True,True,wtfpl
tiangolo,tiangolo/docker-auto-labels,2018-05-01T15:13:31Z,15,15,Python,True,True,mit
tiangolo,tiangolo/tiangolo,2021-05-17T10:01:24Z,17,17,,True,True,
tiangolo,tiangolo/LibCST,2024-04-17T13:42:48Z,4,4,,True,False,other
tiangolo,tiangolo/bump-pydantic,2024-04-18T05:49:21Z,9,9,,True,False,mit
tiangolo,tiangolo/typer-cli,2020-03-08T17:55:04Z,367,367,Python,True,True,mit
tiangolo,tiangolo/trio,2021-06-14T07:30:13Z,4,4,,True,True,other
tiangolo,tiangolo/node-frontend,2018-06-29T10:40:02Z,137,137,Dockerfile,True,True,mit
tiangolo,tiangolo/memray,2024-02-17T20:37:33Z,10,10,,True,False,apache-2.0
tiangolo,tiangolo/python-multipart,2024-01-28T18:29:09Z,11,11,,True,True,other
